#  STM32L152  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0          ,AF1     ,AF2     ,AF3       ,AF4      ,AF5              ,AF6              ,AF7       ,AF8     ,AF9 ,AF10,AF11                        ,AF12,AF13,AF14                         ,AF15    ,ADC      ,SYS
     ,    ,MCO/RTC/SYS  ,TIM2    ,TIM3/4/5,TIM9/10/11,I2C1/2   ,I2S2/SPI1/2      ,I2S3/SPI3        ,USART1/2/3,UART4/5 ,    ,    ,LCD                         ,    ,    ,COMP1/2/SYS/TIMX/TS          ,EVENTOUT,ADC      ,BOOT1/DAC/OSC1/32/RTC/SYS
PortA,PA0 ,             ,TIM2_CH1,TIM5_CH1,          ,         ,                 ,                 ,USART2_CTS,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC1/TS_G1_IO1 ,EVENTOUT,ADC1_IN0 ,RTC_TAMP2/WKUP1
PortA,PA1 ,             ,TIM2_CH2,TIM5_CH2,          ,         ,                 ,                 ,USART2_RTS,        ,    ,    ,LCD_SEG0                    ,    ,    ,COMP1_INP/TIMX_IC2/TS_G1_IO2 ,EVENTOUT,ADC1_IN1 ,
PortA,PA2 ,             ,TIM2_CH3,TIM5_CH3,TIM9_CH1  ,         ,                 ,                 ,USART2_TX ,        ,    ,    ,LCD_SEG1                    ,    ,    ,COMP1_INP/TIMX_IC3/TS_G1_IO3 ,EVENTOUT,ADC1_IN2 ,
PortA,PA3 ,             ,TIM2_CH4,TIM5_CH4,TIM9_CH2  ,         ,                 ,                 ,USART2_RX ,        ,    ,    ,LCD_SEG2                    ,    ,    ,COMP1_INP/TIMX_IC4/TS_G1_IO4 ,EVENTOUT,ADC1_IN3 ,
PortA,PA4 ,             ,        ,        ,          ,         ,SPI1_NSS         ,SPI3_NSS/I2S3_WS ,USART2_CK ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC1           ,EVENTOUT,ADC1_IN4 ,DAC_OUT1
PortA,PA5 ,             ,TIM2_CH1,        ,          ,         ,SPI1_SCK         ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC2           ,EVENTOUT,ADC1_IN5 ,DAC_OUT2
PortA,PA6 ,             ,        ,TIM3_CH1,TIM10_CH1 ,         ,SPI1_MISO        ,                 ,          ,        ,    ,    ,LCD_SEG3                    ,    ,    ,COMP1_INP/TIMX_IC3/TS_G2_IO1 ,EVENTOUT,ADC1_IN6 ,
PortA,PA7 ,             ,        ,TIM3_CH2,TIM11_CH1 ,         ,SPI1_MOSI        ,                 ,          ,        ,    ,    ,LCD_SEG4                    ,    ,    ,COMP1_INP/TIMX_IC4/TS_G2_IO2 ,EVENTOUT,ADC1_IN7 ,
PortA,PA8 ,MCO          ,        ,        ,          ,         ,                 ,                 ,USART1_CK ,        ,    ,    ,LCD_COM0                    ,    ,    ,TIMX_IC1/TS_G4_IO1           ,EVENTOUT,         ,
PortA,PA9 ,             ,        ,        ,          ,         ,                 ,                 ,USART1_TX ,        ,    ,    ,LCD_COM1                    ,    ,    ,TIMX_IC2/TS_G4_IO2           ,EVENTOUT,         ,
PortA,PA10,             ,        ,        ,          ,         ,                 ,                 ,USART1_RX ,        ,    ,    ,LCD_COM2                    ,    ,    ,TIMX_IC3/TS_G4_IO3           ,EVENTOUT,         ,
PortA,PA11,             ,        ,        ,          ,         ,SPI1_MISO        ,                 ,USART1_CTS,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortA,PA12,             ,        ,        ,          ,         ,SPI1_MOSI        ,                 ,USART1_RTS,        ,    ,    ,                            ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortA,PA13,JTMS_SWDIO   ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC2/TS_G5_IO1           ,EVENTOUT,         ,
PortA,PA14,JTCK_SWCLK   ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC3/TS_G5_IO2           ,EVENTOUT,         ,
PortA,PA15,JTDI         ,TIM2_CH1,        ,          ,         ,SPI1_NSS         ,SPI3_NSS/I2S3_WS ,          ,        ,    ,    ,LCD_SEG17                   ,    ,    ,TIMX_IC4/TS_G5_IO3           ,EVENTOUT,         ,
PortB,PB0 ,             ,        ,TIM3_CH3,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG5                    ,    ,    ,COMP1_INP/V_REF_OUT/TS_G3_IO1,EVENTOUT,ADC1_IN8 ,
PortB,PB1 ,             ,        ,TIM3_CH4,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG6                    ,    ,    ,COMP1_INP/V_REF_OUT/TS_G3_IO2,EVENTOUT,ADC1_IN9 ,
PortB,PB2 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G3_IO3                    ,EVENTOUT,         ,BOOT1
PortB,PB3 ,JTDO_TRACESWO,TIM2_CH2,        ,          ,         ,SPI1_SCK         ,SPI3_SCK/I2S3_CK ,          ,        ,    ,    ,LCD_SEG7                    ,    ,    ,COMP2_INM                    ,EVENTOUT,         ,
PortB,PB4 ,JTRST        ,        ,TIM3_CH1,          ,         ,SPI1_MISO        ,SPI3_MISO        ,          ,        ,    ,    ,LCD_SEG8                    ,    ,    ,COMP2_INP/TS_G6_IO1          ,EVENTOUT,         ,
PortB,PB5 ,             ,        ,TIM3_CH2,          ,I2C1_SMBA,SPI1_MOSI        ,SPI3_MOSI/I2S3_SD,          ,        ,    ,    ,LCD_SEG9                    ,    ,    ,COMP2_INP/TS_G6_IO2          ,EVENTOUT,         ,
PortB,PB6 ,             ,        ,TIM4_CH1,          ,I2C1_SCL ,                 ,                 ,USART1_TX ,        ,    ,    ,                            ,    ,    ,COMP2_INP/TS_G6_IO3          ,EVENTOUT,         ,
PortB,PB7 ,             ,        ,TIM4_CH2,          ,I2C1_SDA ,                 ,                 ,USART1_RX ,        ,    ,    ,                            ,    ,    ,COMP2_INP/PVD_IN/TS_G6_IO4   ,EVENTOUT,         ,
PortB,PB8 ,             ,        ,TIM4_CH3,TIM10_CH1 ,I2C1_SCL ,                 ,                 ,          ,        ,    ,    ,LCD_SEG16                   ,    ,    ,                             ,EVENTOUT,         ,
PortB,PB9 ,             ,        ,TIM4_CH4,TIM11_CH1 ,I2C1_SDA ,                 ,                 ,          ,        ,    ,    ,LCD_COM3                    ,    ,    ,                             ,EVENTOUT,         ,
PortB,PB10,             ,TIM2_CH3,        ,          ,I2C2_SCL ,                 ,                 ,USART3_TX ,        ,    ,    ,LCD_SEG10                   ,    ,    ,                             ,EVENTOUT,         ,
